,Ticker,Type,Strike,Expiration,Filled,Current Premium,P/L,Date Signaled
0,$OSTK,Call,90,2021-03-19,7.9,3.75,-415,2020-11-30
1,$AUY,Call,5.5,2022-01-21,1.00,1.26,26,2020-12-01
2,$PLTR,Call,35,2022-01-21,6.25,8.76,250,2020-12-02
3,$TLRY,Call,15,2021-01-15,.78,0.18,-60,2020-12-03
4,$BBY,Call,115,2021-01-15,1.9,0.46,-144,2020-12-04
5,$MARA,Call,7.5,2021-03-19,2.25,4.94,269,2020-12-04
6,$MGNI,Call,22.5,2021-06-18,3.8,13.16,936,2020-12-09
7,$QQQJ,Call,31,2021-03-19,1.3,2.11,80,2020-12-14
8,$IPOB,Call,30,2021-02-19,4.9,5.1,19,2020-12-14
9,$BABA,Call,300,2021-04-16,7.4,6.85,-55,2020-12-14
10,$SNOW,Call,350,2020-12-24,6.1,0.29,-581,2020-12-15
11,$PTON,Put,90,2021-03-19,3.7,1.28,-242,2020-12-15
12,$FUV,Call,20,2021-04-16,2.5,3.1,60,2020-12-16
13,$HCAC,Call,25,2021-01-15,2.4,2.1,-29,2020-12-16
14,$PIC,Call,20,2021-05-21,4.1,6.0,190,2020-12-16
15,$TRIT,Call,10,2021-08-20,2.5,5.0,250,2020-12-17
16,$GOLD,Call,30,2021-03-19,.38,0.31,-7,2020-12-17
17,$BLOK,Call,34,2021-08-20,2.9,4.8,190,2020-12-17
18,$FSLY,Call,120,2021-01-22,3.6,3.5,-10,2020-12-17
19,$SKLZ,Call,30,2021-12-17,5.7,6.2,50,2020-12-17
20,$CLNE,Call,10,2021-03-19,.60,1.89,129,2020-12-21
